,Pos,Driver,AUS,BAH,CHI,RUS,SPA,MON,CAN,AZE,OST,BRI,HUN,GER,BEL,ITA,SIN,MAL,JAP,US,MEX,BRA,ABU,Pts
0,1,Nico Rosberg,1,1*,1,1*,DNF,7,5*,1*,4,3*,2,4,1,1,1,3*,1,2,2,2,2,385
1,2,Lewis Hamilton,2,3,7,2,DNF,1*,1,5,1*,1,1,1,3*,2,3,DNF,3,1,1,1,1,380
2,3,Daniel Ricciardo,4*,4,4,11,4,2,7,7,5,4,3,2*,2,5,2*,1,6,3,3*,8,5,256
3,4,Sebastian Vettel,3,DNS,2,DNF,3,4,2,2,DNF,9,4,5,6,3,5,DNF,4*,4*,5,5,3*,212
4,5,Max Verstappen,10,6,8,DNF,1,DNF,4,8,2,2,5,3,11,7,6,2,2,DNF,4,3*,4,204
5,6,Kimi Räikkönen,DNF,2,5,3,2,DNF,6,4,3,5,6*,6,9,4,4,4,5,DNF,6,DNF,6,186
6,7,Sergio Pérez,13,16,11,9,7,3,10,3,17,6,11,10,5,8,8,6,7,8,10,4,8,101
7,8,Valtteri Bottas,8,9,10,4,5,12,3,6,9,14,9,9,8,6,DNF,5,10,16,8,11,DNF,85
8,9,Nico Hülkenberg,7,15,15*,DNF,DNF,6,8,9,19,7,10,7,4,10,DNF,8,8,DNF,7,7,7,72
9,10,Fernando Alonso,DNF,,12,6,DNF,5,11,DNF,18,13,7,12,7,14*,7,7,16,5,13,10,10,54
10,11,Felipe Massa,5,8,6,5,8,10,DNF,10,20,11,18,DNF,10,9,12,13,9,7,9,DNF,9,53
11,12,Carlos Sainz Jr.,9,DNF,9,12,6,8,9,DNF,8,8,8,14,DNF,15,14,11,17,6,16,6,DNF,46
12,13,Romain Grosjean,6,5,19,8,DNF,13,14,13,7,DNF,14,13,13,11,DNS,DNF,11,10,20,DNS,11,29
13,14,Daniil Kvyat,DNS,7,3,15,10*,DNF,12,DNF,DNF,10,16,15,14,DNF,9,14,13,11,18,13,DNF,25
14,15,Jenson Button,14,DNF,13,10,9,9,DNF,11,6,12,DNF,8,DNF,12,DNF,9,18,9,12,16,DNF,21
15,16,Kevin Magnussen,12,11,17,7,15,DNF,16,14,14,17,15,16,DNF,17,10,DNF,14,12,17,14,DNF,7
16,17,Felipe Nasr,15,14,20,16,14,DNF,18,12,13,15,17,21,17,DNF,13,DNF,19,15,15,9,16,2
17,18,Jolyon Palmer,11,DNS,22,13,13,DNF,DNF,15,12,DNF,12,19,15,DNF,15,10,12,13,14,DNF,17,1
18,19,Pascal Wehrlein,16,13,18,18,16,14,17,DNF,10,DNF,19,17,DNF,DNF,16,15,22,17,DNF,15,14,1
19,20,Stoffel Vandoorne,,10,,,,,,,,,,,,,,,,,,,,1
20,21,Marcus Ericsson,DNF,12,16,14,12,DNF,15,17,15,DNF,20,18,DNF,16,17,12,15,14,11,DNF,15,0
21,22,Esteban Ocon,,,,,,,,,,,,,16,18,18,16,21,18,21,12,13,0
22,23,Rio Haryanto,DNF,17,21,DNF,17,15,19,18,16,DNF,21,20,,,,,,,,,,0
23,24,Esteban Gutierrez,DNF,DNF,14,17,11,11,13,16,11,16,13,11,12,13,11,DNF,20,DNF,19,DNF,12,0
